"phase","experiment_id","formulation","temperature_c","pc_g","ec_g","emc_g","lipf6_g","ionic_conductivity_s_cm","ln_ionic_conductivity"
"liquid","PYA_25082021_BM169_1","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","-20.0","1.509","1.506","7.2024","0.3006","0.0014852099821455","-6.469287463571516"
"liquid","PYA_25082021_BM169_1","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","-10.0","1.509","1.506","7.2024","0.3006","0.0019055135828885","-6.272468671353089"
"liquid","PYA_25082021_BM169_1","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","0.0","1.509","1.506","7.2024","0.3006","0.0022868628340092","-6.090060920117156"
"liquid","PYA_25082021_BM169_1","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","10.0","1.509","1.506","7.2024","0.3006","0.0027378592992043","-5.92053734696605"
"liquid","PYA_25082021_BM169_1","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","20.0","1.509","1.506","7.2024","0.3006","0.0033366223884645","-5.7625794277908"
"liquid","PYA_25082021_BM169_1","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","30.0","1.509","1.506","7.2024","0.3006","0.0036077275283242","-5.615042614944117"
"liquid","PYA_25082021_BM169_1","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","40.0","1.509","1.506","7.2024","0.3006","0.0040803898079443","-5.476928558785709"
"liquid","PYA_25082021_BM169_1","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","50.0","1.509","1.506","7.2024","0.3006","0.0047306865604854","-5.347362486916853"
"liquid","PYA_25082021_BM169_1","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","60.0","1.509","1.506","7.2024","0.3006","0.0052962041860472","-5.225574657393418"
"liquid","PYA_25082021_BM169_2","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","-20.0","1.509","1.506","7.2024","0.3006","0.0012132595557564","-6.675633941015805"
"liquid","PYA_25082021_BM169_2","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","-10.0","1.509","1.506","7.2024","0.3006","0.0015060518279517","-6.455265068187161"
"liquid","PYA_25082021_BM169_2","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","0.0","1.509","1.506","7.2024","0.3006","0.0018371346640892","-6.251031569535975"
"liquid","PYA_25082021_BM169_2","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","10.0","1.509","1.506","7.2024","0.3006","0.0023300859951325","-6.061223887494444"
"liquid","PYA_25082021_BM169_2","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","20.0","1.509","1.506","7.2024","0.3006","0.0029251931316392","-5.884365731773332"
"liquid","PYA_25082021_BM169_2","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","30.0","1.509","1.506","7.2024","0.3006","0.0040474894889641","-5.719175605458197"
"liquid","PYA_25082021_BM169_2","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","40.0","1.509","1.506","7.2024","0.3006","0.0046408739165803","-5.564535702762104"
"liquid","PYA_25082021_BM169_2","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","50.0","1.509","1.506","7.2024","0.3006","0.0037293692491891","-5.419466581603754"
"liquid","PYA_25082021_BM169_2","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","60.0","1.509","1.506","7.2024","0.3006","0.0043775074461296","-5.283106397630357"
"liquid","PYA_25082021_BM169_4","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","-20.0","1.509","1.506","7.2024","0.3006","0.0014605667574963","-6.528524497422328"
"liquid","PYA_25082021_BM169_4","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","-10.0","1.509","1.506","7.2024","0.3006","0.0018653142221669","-6.303755362378011"
"liquid","PYA_25082021_BM169_4","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","0.0","1.509","1.506","7.2024","0.3006","0.0022761884116942","-6.095443788017883"
"liquid","PYA_25082021_BM169_4","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","10.0","1.509","1.506","7.2024","0.3006","0.002728187027006","-5.901846080820754"
"liquid","PYA_25082021_BM169_4","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","20.0","1.509","1.506","7.2024","0.3006","0.0033412672423297","-5.721456472357864"
"liquid","PYA_25082021_BM169_4","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","30.0","1.509","1.506","7.2024","0.3006","0.003764620915026","-5.552967877153288"
"liquid","PYA_25082021_BM169_4","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","40.0","1.509","1.506","7.2024","0.3006","0.004264378262326","-5.3952401693959136"
"liquid","PYA_25082021_BM169_4","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","50.0","1.509","1.506","7.2024","0.3006","0.0048135001610853","-5.247274349786916"
"liquid","PYA_25082021_BM169_4","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","60.0","1.509","1.506","7.2024","0.3006","0.0069101107765376","-5.108191364913562"
"liquid","PYA_25082021_BM169_6","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","-20.0","1.509","1.506","7.2024","0.3006","0.0014733478861792","-6.469998154766992"
"liquid","PYA_25082021_BM169_6","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","-10.0","1.509","1.506","7.2024","0.3006","0.0018653315531688","-6.276046686060428"
"liquid","PYA_25082021_BM169_6","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","0.0","1.509","1.506","7.2024","0.3006","0.0022834478522175","-6.0962963133602015"
"liquid","PYA_25082021_BM169_6","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","10.0","1.509","1.506","7.2024","0.3006","0.0027818268214982","-5.929242417629796"
"liquid","PYA_25082021_BM169_6","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","20.0","1.509","1.506","7.2024","0.3006","0.0031892714485244","-5.7735856834706265"
"liquid","PYA_25082021_BM169_6","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","30.0","1.509","1.506","7.2024","0.3006","0.0037867985476546","-5.62819823739717"
"liquid","PYA_25082021_BM169_6","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","40.0","1.509","1.506","7.2024","0.3006","0.0040636725658801","-5.492096274068304"
"liquid","PYA_25082021_BM169_6","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","50.0","1.509","1.506","7.2024","0.3006","0.0045752646780965","-5.3644177650689375"
"liquid","PYA_25082021_BM169_6","PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g","60.0","1.509","1.506","7.2024","0.3006","0.0050615673853922","-5.244404182318969"
"liquid","PYA_30032021_BM048_1","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","-30.0","3.0105","0.0","7.2121","0.9547","0.00174738653787","-6.28381680217727"
"liquid","PYA_30032021_BM048_1","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","-20.0","3.0105","0.0","7.2121","0.9547","0.002458383858293","-6.018630756940258"
"liquid","PYA_30032021_BM048_1","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","-10.0","3.0105","0.0","7.2121","0.9547","0.0031773642843836","-5.773599455783581"
"liquid","PYA_30032021_BM048_1","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","0.0","3.0105","0.0","7.2121","0.9547","0.0039443043359942","-5.546509307924116"
"liquid","PYA_30032021_BM048_1","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","10.0","3.0105","0.0","7.2121","0.9547","0.0050033550718062","-5.335459431854124"
"liquid","PYA_30032021_BM048_1","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","20.0","3.0105","0.0","7.2121","0.9547","0.0060810081624649","-5.138808319288822"
"liquid","PYA_30032021_BM048_1","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","30.0","3.0105","0.0","7.2121","0.9547","0.0071534131791708","-4.95513105548257"
"liquid","PYA_30032021_BM048_1","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","40.0","3.0105","0.0","7.2121","0.9547","0.008261436496666","-4.783184736195318"
"liquid","PYA_30032021_BM048_1","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","50.0","3.0105","0.0","7.2121","0.9547","0.0100146966264525","-4.621880305770036"
"liquid","PYA_30032021_BM048_1","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","60.0","3.0105","0.0","7.2121","0.9547","0.0106525802623583","-4.470259467145761"
"liquid","PYA_30032021_BM048_2","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","-30.0","3.0105","0.0","7.2121","0.9547","0.0018346685815591","-6.239614845554763"
"liquid","PYA_30032021_BM048_2","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","-20.0","3.0105","0.0","7.2121","0.9547","0.0025266577354261","-5.977395159855315"
"liquid","PYA_30032021_BM048_2","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","-10.0","3.0105","0.0","7.2121","0.9547","0.0033437423738395","-5.735104768147846"
"liquid","PYA_30032021_BM048_2","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","0.0","3.0105","0.0","7.2121","0.9547","0.0041907780559974","-5.510554840779199"
"liquid","PYA_30032021_BM048_2","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","10.0","3.0105","0.0","7.2121","0.9547","0.0052790460170282","-5.301865759419286"
"liquid","PYA_30032021_BM048_2","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","20.0","3.0105","0.0","7.2121","0.9547","0.0059848845326685","-5.107414377623413"
"liquid","PYA_30032021_BM048_2","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","30.0","3.0105","0.0","7.2121","0.9547","0.0068221806962431","-4.925791719680146"
"liquid","PYA_30032021_BM048_2","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","40.0","3.0105","0.0","7.2121","0.9547","0.0089815599786084","-4.755768784422061"
"liquid","PYA_30032021_BM048_2","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","50.0","3.0105","0.0","7.2121","0.9547","0.0105665346960588","-4.596268698321217"
"liquid","PYA_30032021_BM048_2","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","60.0","3.0105","0.0","7.2121","0.9547","0.0108229031676973","-4.446343883785784"
"liquid","PYA_30032021_BM048_3","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","-30.0","3.0105","0.0","7.2121","0.9547","0.0021762253119546","-5.9843761964075055"
"liquid","PYA_30032021_BM048_3","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","-20.0","3.0105","0.0","7.2121","0.9547","0.0033420025411872","-5.703227183565403"
"liquid","PYA_30032021_BM048_3","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","-10.0","3.0105","0.0","7.2121","0.9547","0.0041882797866193","-5.44344613673828"
"liquid","PYA_30032021_BM048_3","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","0.0","3.0105","0.0","7.2121","0.9547","0.0064445554400936","-5.202686217264414"
