"phase","formula","temperature_c","ionic_conductivity_s_cm","log10_ionic_conductivity","family","chemical_family","source_doi"
"solid","Li2Ti0.75Ta0.25O3.125","300","9.00E-05","-4.045757491","Rocksalt","Oxides","10.1016/j.fusengdes.2010.04.003"
"solid","Li2OHBr","22.06","5.40E-07","-6.26760624","Anti-Perovskite","Oxides and Other Anions","10.1002/aenm.201700971"
"solid","Li2.4OH0.6Cl","26","8.90E-08","-7.050609993","Anti-Perovskite","Oxides and Other Anions","10.1002/aenm.201700971"
"solid","Li2.1OH0.9Cl","26","8.05E-08","-7.09420412","Anti-Perovskite","Oxides and Other Anions","10.1002/aenm.201700971"
"solid","Li2OHCl","26","7.11E-08","-7.148130399","Anti-Perovskite","Oxides and Other Anions","10.1002/aenm.201700971"
"solid","Li2.7OH0.3Cl","26","7.30E-09","-8.13667714","Anti-Perovskite","Oxides and Other Anions","10.1002/aenm.201700971"
"solid","Li6PO5Cl","25","1.00E-09","-9","Argyrodite","Oxides and Other Anions","10.1002/zaac.201000121"
"solid","Li14ZnGe4O16","300","1.25E-01","-0.903089987","LISICON","#N/A","10.1016/0025-5408(78)90075-2"
"solid","(YPO4)0.8(Li3PO4)0.2","600","3.70E-02","-1.431798276","Zircon","#N/A","10.1016/0167-2738(89)90457-8"
"solid","(YPO4)0.8(Li3PO4)0.2","400","5.40E-04","-3.26760624","Zircon","#N/A","10.1016/0167-2738(89)90457-8"
"solid","Li7La3Zr2O12","24.85","5.11E-04","-3.2915791","Garnet","Oxides","10.1002/anie.200701144"
"solid","Li3.4Si0.4P0.6S4","27","6.40E-04","-3.193820026","Thio-LISICON","Sulphides","10.1006/jssc.2002.9701"
"solid","Li6.4La3Zr1.4Ta0.6O12","34","2.06E-03","-2.68613278","Garnet","Oxides","10.1039/C2JM31413D"
"solid","Li7.06La3Zr1.94Y0.06O12","25","9.56E-04","-3.019542108","Garnet","Oxides","10.1016/j.elecom.2011.08.014"
"solid","Li6.4Al0.19La3Zr2O11.8","24.85","3.10E-04","-3.508638306","Garnet","Oxides","10.1016/j.jpowsour.2012.02.100"
"solid","La0.57Li0.29TiO3","26.85","1.60E-03","-2.795880017","Perovskite","Oxides","10.1016/j.jpowsour.2012.11.098"
"solid","Li6.5La3Zr1.75Te0.25O12","29.85","1.07E-04","-3.972242795","Garnet","Oxides","10.1016/j.jpowsour.2013.03.166"
"solid","Li7La3Zr2O12","24.85","1.63E-06","-5.787812396","Garnet","Oxides","10.1016/j.jssc.2009.05.020"
"solid","Li9.6P3S12","24.85","1.58E-03","-2.801342913","Thio-LISICON","Sulphides","10.1038/nenergy.2016.30"
"solid","Li1.3Al0.3Ti1.7(PO4)3","24.85","6.20E-03","-2.207608311","NASICON","Oxides","10.1016/j.ssi.2014.07.018"
"solid","Li1.3Al0.3Ti1.7(PO4)3","24.85","1.21E-03","-2.91721463","NASICON","Oxides","10.1016/j.ssi.2016.07.010"
"solid","Li1.2Ti1.8Sc0.2(PO4)3","25","2.31E-04","-3.63638802","NASICON","Oxides","10.1021/acs.inorgchem.6b02274"
"solid","Li1.6Al0.6Ge0.8(PO4)3","24.85","7.00E-04","-3.15490196","NASICON","Oxides","10.1021/cm021717j"
"solid","Li6.55La3Zr2Ga0.9O12","24.85","1.30E-03","-2.886056648","Garnet","Oxides","10.1021/cm5008069"
"solid","Li2OHCl","195","2.80E-03","-2.552841969","Anti-Perovskite","#N/A","10.1021/jacs.5b11851"
"solid","LiTi2(PO4)3","24.85","3.83E-07","-6.416801226","NASICON","Oxides","10.1021/jp973296c"
