phase,formula,temperature_c,ionic_conductivity_s_cm,log10_ionic_conductivity,family,chemical_family,source_doi
solid,Li2OHCl,195,2.80E-03,-2.552841969,Anti-Perovskite,#N/A,10.1021/jacs.5b11851
solid,Li5PS4(BH4)2,50,5.00E-03,-2.301029996,Argyrodite,#N/A,10.1021/acsomega.8b00377
solid,Li6PS5Cl,150.58,2.14E-02,-1.669586227,Argyrodite,#N/A,10.1016/j.ssi.2012.06.008
solid,Li4Nd3TeSbO12,200,2.64E-05,-4.578396073,Garnet,#N/A,10.1021/cm703677q
solid,Li5La3Sb2O12,207,1.16E-03,-2.935542011,Garnet,#N/A,10.1016/j.ssi.2008.01.002
solid,Li5La3Ta2O12,199,2.72E-03,-2.565431096,Garnet,#N/A,10.1007/s11581-007-0097-8
solid,Li5La3Ta2O12,60,1.52E-05,-4.818156412,Garnet,#N/A,10.1016/j.ssi.2009.11.015
solid,Li5Nd3Sb2O12,207,1.39E-03,-2.8569852,Garnet,#N/A,10.1016/j.ssi.2008.01.002
solid,Li6.25Ba1.25La1.75Ta2O12,200,7.61E-03,-2.118615343,Garnet,#N/A,10.1007/s11581-007-0097-8
solid,Li6.4La3Zr1.7W0.3O12,303,7.89E-04,-3.102922997,Garnet,#N/A,10.1063/1.4818971
solid,Li6BaLa2Ta2O12,50,1.30E-04,-3.886056648,Garnet,#N/A,10.1149/1.2800764
solid,Li6BaLa2Ta2O12 ,200,1.35E-02,-1.869666232,Garnet,#N/A,10.1007/s00339-008-4494-2
solid,Li6BaLa2Ta2O12 ,168,2.27E-03,-2.643974143,Garnet,#N/A,10.1016/j.ssi.2008.10.022
solid,Li6CaLa2Ta2O12,175,1.05E-03,-2.978810701,Garnet,#N/A,10.1016/j.ssi.2008.10.022
solid,Li6CaLa2Ta2O12,100,3.58E-05,-4.446116973,Garnet,#N/A,10.1149/1.2800764
solid,Li6La2CaNb2O12,154,7.82E-05,-4.106793247,Garnet,#N/A,10.1016/j.ssi.2008.01.047
solid,Li6MgLa2Ta2O12,100,2.45E-05,-4.610833916,Garnet,#N/A,10.1149/1.2800764
solid,Li6Sr0.5Ba0.5La2Ta2O12,200,5.70E-03,-2.244125144,Garnet,#N/A,10.1149/1.2800764
solid,Li6SrLa2Ta2O12,200,5.89E-03,-2.229884705,Garnet,#N/A,10.1149/1.2800764
solid,Li7La3Ta2O13,121,6.85E-05,-4.164309429,Garnet,#N/A,10.1016/j.ssi.2009.07.002
solid,"""((Li2S)0.6 (SiS2)0.4)95 (Li4SiO4)5""",121,3.00E-03,-2.522878745,Glass,#N/A,10.1016/j.ssi.2006.07.017
solid,"""(Li2O)16.6 (SiO2)83.4""",179,2.77E-06,-5.557520231,Glass,#N/A,10.1016/S0022-3093(99)00688-2
solid,"""(Li2O)50 (Al2O3)2 (P2O5)48""",60,5.01E-08,-7.299988938,Glass,#N/A,10.1016/j.jeurceramsoc.2008.12.016
solid,"""(Li2O)50 (Al2O3)3 (P2O5)47""",52,5.25E-08,-7.279840697,Glass,#N/A,10.1016/j.jeurceramsoc.2008.12.016
solid,"""(Li2O)50 (LiF)20 (P2O5)30""",106,7.99E-05,-4.097453221,Glass,#N/A,10.1134/S1023193509050048
solid,"""(LiCl)0.25 ((Li2O)0.6 (P2O5)0.4)0.75""",53.63,2.49E-05,-4.603800653,Glass,#N/A,10.1016/j.jpowsour.2008.07.089
solid,"""(LiCl)0.5 (P2O5)0.5""",192,9.12E-06,-5.040005162,Glass,#N/A,10.1007/s11581-008-0276-2
