jid,phase,experiment_id,formulation,temperature_c,target_log_sigma,ionic_conductivity_s_cm,component_count,node_count,edge_count,salt_nodes,solvent_nodes
liquid_0000,liquid,PYA_25082021_BM169_1,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,-20.0,-6.469287463571516,0.0014852099821455,4,4,12,1,3
liquid_0001,liquid,PYA_25082021_BM169_1,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,-10.0,-6.272468671353089,0.0019055135828885,4,4,12,1,3
liquid_0002,liquid,PYA_25082021_BM169_1,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,0.0,-6.090060920117156,0.0022868628340092,4,4,12,1,3
liquid_0003,liquid,PYA_25082021_BM169_1,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,10.0,-5.92053734696605,0.0027378592992043,4,4,12,1,3
liquid_0004,liquid,PYA_25082021_BM169_1,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,20.0,-5.7625794277908,0.0033366223884645,4,4,12,1,3
liquid_0005,liquid,PYA_25082021_BM169_1,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,30.0,-5.615042614944117,0.0036077275283242,4,4,12,1,3
liquid_0006,liquid,PYA_25082021_BM169_1,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,40.0,-5.476928558785709,0.0040803898079443,4,4,12,1,3
liquid_0007,liquid,PYA_25082021_BM169_1,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,50.0,-5.347362486916853,0.0047306865604854,4,4,12,1,3
liquid_0008,liquid,PYA_25082021_BM169_1,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,60.0,-5.225574657393418,0.0052962041860472,4,4,12,1,3
liquid_0009,liquid,PYA_25082021_BM169_2,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,-20.0,-6.675633941015805,0.0012132595557564,4,4,12,1,3
liquid_0010,liquid,PYA_25082021_BM169_2,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,-10.0,-6.455265068187161,0.0015060518279517,4,4,12,1,3
liquid_0011,liquid,PYA_25082021_BM169_2,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,0.0,-6.251031569535975,0.0018371346640892,4,4,12,1,3
liquid_0012,liquid,PYA_25082021_BM169_2,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,10.0,-6.061223887494444,0.0023300859951325,4,4,12,1,3
liquid_0013,liquid,PYA_25082021_BM169_2,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,20.0,-5.884365731773332,0.0029251931316392,4,4,12,1,3
liquid_0014,liquid,PYA_25082021_BM169_2,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,30.0,-5.719175605458197,0.0040474894889641,4,4,12,1,3
liquid_0015,liquid,PYA_25082021_BM169_2,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,40.0,-5.564535702762104,0.0046408739165803,4,4,12,1,3
liquid_0016,liquid,PYA_25082021_BM169_2,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,50.0,-5.419466581603754,0.0037293692491891,4,4,12,1,3
liquid_0017,liquid,PYA_25082021_BM169_2,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,60.0,-5.283106397630357,0.0043775074461296,4,4,12,1,3
liquid_0018,liquid,PYA_25082021_BM169_4,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,-20.0,-6.528524497422328,0.0014605667574963,4,4,12,1,3
liquid_0019,liquid,PYA_25082021_BM169_4,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,-10.0,-6.303755362378011,0.0018653142221669,4,4,12,1,3
liquid_0020,liquid,PYA_25082021_BM169_4,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,0.0,-6.095443788017883,0.0022761884116942,4,4,12,1,3
liquid_0021,liquid,PYA_25082021_BM169_4,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,10.0,-5.901846080820754,0.002728187027006,4,4,12,1,3
